,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
0,TCS,3.7,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Mumbai 
1,Accenture,3.9,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,IT Services & Consulting ,Dublin 
2,Cognizant,3.8,NaN,Promotions / Appraisal,IT Services & Consulting ,Teaneck. New Jersey. 
3,Wipro,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Bangalore/Bengaluru 
4,Capgemini,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Paris 
5,HDFC Bank,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,Banking ,Mumbai 
6,ICICI Bank,4.0,"Job Security, Skill Development / Learning, Company Culture",NaN,Banking ,Mumbai 
7,Infosys,3.7,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Bengaluru/Bangalore 
8,HCLTech,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Noida 
9,Tech Mahindra,3.6,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Pune 
10,Genpact,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,New York 
11,Teleperformance,3.9,Skill Development / Learning,NaN,BPO ,Paris 
12,Concentrix Corporation,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Fremont 
13,Axis Bank,3.8,NaN,Promotions / Appraisal,Banking ,Mumbai 
14,Amazon,4.1,"Company Culture, Salary & Benefits, Work Life Balance",NaN,Internet ,Seattle 
15,Jio,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,Telecom ,Navi Mumbai 
16,IBM,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,IT Services & Consulting ,Armonk 
17,Reliance Retail,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,Retail ,Ghansoli 
18,HDB Financial Services,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,NBFC ,Ahmedabad 
19,iEnergizer,4.7,"Company Culture, Skill Development / Learning, Job Security",NaN,BPO ,Noida 
20,Larsen & Toubro Limited,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Engineering & Construction ,Mumbai 
21,Deloitte,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,Management Consulting ,London 
22,BYJU'S,3.1,NaN,"Job Security, Work Life Balance, Company Culture",EdTech ,Bangalore 
23,Kotak Mahindra Bank,3.8,Job Security,Promotions / Appraisal,Banking ,Mumbai 
24,LTIMindtree,3.6,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Bangalore / Bengaluru 
25,Vodafone Idea,4.1,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Telecom ,Mumbai 
26,Reliance Industries,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Oil & Gas ,Navi Mumbai 
27,Bharti Airtel,4.0,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal,Telecom ,Gurgaon/Gurugram 
28,Tata Motors,4.2,"Job Security, Skill Development / Learning, Company Culture",NaN,Automobile ,Pune 
29,WNS,3.4,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO ,Mumbai 
30,Flipkart,4.0,"Skill Development / Learning, Company Culture, Job Security",NaN,Internet ,Bangalore 
31,IndusInd Bank,3.6,NaN,"Promotions / Appraisal, Salary & Benefits, Company Culture",Banking ,Gurgaon/Gurugram 
32,Ernst & Young,3.5,NaN,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Management Consulting ,London 
33,IDFC FIRST Bank,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Banking ,Mumbai 
34,Mahindra & Mahindra,4.1,"Job Security, Skill Development / Learning, Company Culture",NaN,Automobile ,Mumbai 
35,DXC Technology,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Minato 
36,AU Small Finance Bank,4.4,"Skill Development / Learning, Job Security, Company Culture",NaN,Banking ,Jaipur 
